Source,Category,Headline,Description,Link,Date,Author,Target
Copperbelt Energy,business news,CEC Renewables announces First Green Bond Coupon Payment of  USD 2.4 million,"LUSAKA, Zambia - June 21, 2024 - CEC Renewables, a subsidiary of Copperbelt Energy Corporation PLC (CEC), is pleased to announce its first Green Bond Coupon payment of USD 2.4 million. The first coupon payment marks the Bond’s sixth month anniversary, which now makes it tradeable on the Lusaka Securities Exchange. This milestone payment not",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-06-21 14:04:21+00:00,CEC Investor Relations,0
Copperbelt Energy,career,CEC Career Opportunity: Analyst – Human Resource Information System (01),Grade: CEC7 | Contract Type: Permanent | Location: Kitwe The job holder will be required to provide effective and efficient Human Resource Information System (HRIS) support and HR Operational support and coordination in order to help Management make decisions according to the company’s human resource-documented information. The job holder will be reporting to the Manager,https://cecinvestor.com/search/kitwe/feed/rss2/,2024-05-27 15:06:15+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Instrumentation Technician (01),"Grade: CEC9 | Contract Type: Permanent | Location: Kitwe This role is responsible for carrying out the repairs, maintenance and calibration of various electronic instruments to ensure that they are in sound operating conditions. The job holder will be reporting to the Supervisor – Power Plants (Instrumentation). Key Accountabilities Undertake preventative maintenance on all Gas",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-05-27 15:05:31+00:00,Lovejoy Musundire,1
Copperbelt Energy,career,CEC Career Opportunity: Supply Assistant (01),"Grade: CEC9 | Contract Type: Permanent | Location: Kitwe This role is responsible for providing routine and transactional supply service support by replenishing, storing, maintaining issuing items and materials to meet company requirements. The job holder will be reporting to the Advisor – Warehouse & Inventory Control. Key Accountabilities Issue goods, materials, supplies and consignments",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-05-27 15:04:41+00:00,Lovejoy Musundire,1
Copperbelt Energy,development,CEC Renewables releases the 2023 Green Bond Annual Impact Report,"13th January 2024, Lusaka – Zambia's debut Green Bond has been successfully listed on the Lusaka Securities Exchange (LuSE), marking a significant milestone achieved through CEC’s subsidiary, CEC Renewables Ltd. This achievement is set to play a pivotal role in driving the development of renewable energy within the country.",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-05-24 13:32:19+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"CEC Renewables | Career opportunity: Health, Safety, Environment & Community Liaison Officer (x1)","We currently have a career opportunity for Health, Safety, Environment & Community Liaison Officer (x1) Contract Type: Fixed Term Contract | Job Location: Kitwe This role is critical in ensuring compliance with Zambian laws on environmental management, social safeguards and Occupational Health and Safety, IFC Performance Standards on Environmental and Social Sustainability and, World Bank",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-04-24 10:47:17+00:00,CEC Investor Relations,0
Copperbelt Energy,politics,CEC Commissions 60MW Itimpi Solar Photovoltaic Power Station in Kitwe,"Copperbelt Energy Corporation (CEC) has taken a significant stride towards sustainable operations with the successful commissioning of the 60-megawatt Itimpi Solar Photovoltaic Power Station in Garneton, Kitwe, held on Wednesday, 10th April 2024. The Plant was unveiled by the President of the Republic of Zambia, H.E. Mr Hakainde Hichilema, along with other dignitaries and stakeholders.",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-04-15 14:26:47+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,CEC 2023 Annual Report released,"I am pleased with the great progress we made during the year on several fronts. Achieving notable progress on our sustainability priorities, settling the remaining historical risks, and continuing with the consolidation of our DRC business was at the centre of the milestones achieved in the year. We are confident in the agility of the",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-03-07 21:43:10+00:00,CEC Investor Relations,1
Copperbelt Energy,business news,CEC – Notice and Agenda of the Twenty-Sixth Annual General Meeting,"NOTICE IS HEREBY GIVEN that the Twenty-Sixth Annual General Meeting (AGM) of the Members of Copperbelt Energy Corporation PLC will be held virtually through the Corpserve eAGM Platform whose link is provided under (“Notes”) below and physically at CEC Ravens Country Club, on Thursday, 28th March 2024 commencing at 10:00 hours to transact the business",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-03-07 07:25:32+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,CEC releases Consolidated Audited Results for the Financial Year Ended 31 December 2023,"Managing Director, Owen Silavwe, commented: “I am thrilled to present our strong business performance for 2023. The Group has continued to make progress in the delivery of its strategic priorities which should steadily translate into value for our stakeholders. As evidenced by the key performance statistics presented herein, we continue to deliver on our operational",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-03-01 12:34:38+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Technician – Electrical,We invite applications from suitably qualified and innovative individuals to take up the position of Technician - Electrical to be based in Kitwe. The successful candidate will be required to carry out regular way leave patrols in order to inspect and determine the condition of all the Company transmission lines and ancillary equipment for effective,https://cecinvestor.com/search/kitwe/feed/rss2/,2024-01-24 15:37:07+00:00,Lovejoy Musundire,1
Copperbelt Energy,development,CEC Career Opportunity: Manager – Digital Innovations (01),"Grade: CEC5 | Contract Type: Permanent | Location: Kitwe This role is responsible for driving digital innovation through automation, digitalisation, and software development. It serves as a bridge between business requirements and technology solutions, collaborate with various departments to create digital transformation strategies, design data analytics tools, evaluate emerging technologies, procure specialised software applications, and",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-11-30 06:04:12+00:00,Lovejoy Musundire,1
Copperbelt Energy,career,"CEC Career Opportunity: Engineer – Information Security, Governance & Compliance (01)","Grade: CEC6 | Contract Type: Permanent | Location: Kitwe The job holder will be required to ensure organisational alignment with regulations, standards, and best practices for data protection and operational integrity. This role includes proactive identification and resolution of cyber issues, post-incident analysis, and driving digital landscape improvements. Additionally, the job holder will play a",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-11-30 06:03:07+00:00,Lovejoy Musundire,1
Copperbelt Energy,development,CEC Career Opportunity: Advisor – Talent Management (01),"Grade: CEC6 | Contract Type: Permanent | Location: Kitwe This role will be responsible for creating a high-performance culture by providing talent development initiatives, Company-wide Learning & Development plans and facilitating effective performance management system. In addition, the role will ensure that all talent development plans and initiatives are linked to the fulfilment of the",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-10-02 19:00:24+00:00,CEC Investor Relations,1
Copperbelt Energy,business news,CEC Career Opportunity: Advisor – HR Operations (01),"Grade: CEC6 | Contract Type: Permanent | Location: Kitwe This role will be required to perform a variety of HR operational and administrative functions that includes implementation of HR plans, policies and procedures at departmental level and proactive engagements with various units of the business to ensure effective and efficient delivery of HR solutions that",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-10-02 18:52:36+00:00,CEC Investor Relations,1
Copperbelt Energy,career,CEC Career Opportunity: Manager – HR Operations (01),Grade: CEC5 | Contract Type: Permanent | Location: Kitwe This role is responsible for overseeing the day-to-day HR operations and the successful execution of HR plans and processes that are aligned to the departmental and overall Company strategy whilst driving an efficient and optimal employee experience. The job holder will be reporting to the Chief,https://cecinvestor.com/search/kitwe/feed/rss2/,2023-10-02 18:43:57+00:00,CEC Investor Relations,1
Copperbelt Energy,career,CEC Career Opportunity: Creditors Accountant,"We invite applications from suitably qualified and innovative individuals to take up the position of Creditors Accountant to be based in Kitwe. The successful candidate will be required to review, process and prepare payments for all goods and services supplied to the Company and reconcile supplies’ accounts on a regular basis, as well as preparing",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-09-06 06:56:20+00:00,Lovejoy Musundire,1
Copperbelt Energy,career,CEC Career Opportunity: Creative & Graphic Designer,"Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Creative & Graphic Designer to be based in Kitwe. The successful candidate will be responsible for creating aesthetically pleasing visual and audio content for CEC. Other responsibilities include defining requirements, visualising and creating graphics including illustrations, logos, layouts,",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-08-18 09:57:49+00:00,Lovejoy Musundire,0
Copperbelt Energy,development,CEC Career Opportunity: Senior Manager – Corporate Communication (01),"Grade: CEC4 Contract | Type: Permanent | Location: Kitwe This role is responsible for planning and driving communication efforts between the organisation and its publics, to keep them informed of company developments with the view of maintaining and building a positive image of the Company. The job holder will be responsible for communicating new developments",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-08-01 18:54:12+00:00,CEC Investor Relations,1
Copperbelt Energy,career,CEC Career Opportunity: Security Officer (4),"Grade: CEC10 | Contract Type: Permanent | Location: Kitwe This job holder will be required to perform a range of security duties such as surveillance access security control, motor vehicle tracking and monitoring other security electronic systems in order to ensure security of company property. This role will be reporting to the Senior Security Officer.",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-08-01 18:53:47+00:00,CEC Investor Relations,0
Copperbelt Energy,career,CEC Career Opportunities: Drafter – Civil/Mechanical,"Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Drafter - Civil/Mechanical to be based in Kitwe. The successful candidate will be required to design and produce Civil, (Architectural), Structural (steelwork & concrete) and mechanical drawings to facilitate construction, fabrication, maintenance of company infrastructure and other engineering",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-07-12 09:40:44+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunities: Artisan Electrical,"Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Artisan Electrical to be based in Kitwe. The successful candidate will be required to carry out electrical maintenance, repair and installation of all electrical equipment under 380v supply. This role will be reporting to the Supervisor – Electrical",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-07-12 09:39:59+00:00,Lovejoy Musundire,1
Copperbelt Energy,career,CEC Career Opportunities: Laboratory Analyst,Career Opportunity We invite applications from suitably qualified and innovative individuals to take up the position of Laboratory Analyst to be based in Kitwe. The successful candidate will be required to perform a range of laboratory analytical activities including oil testing and sampling and routine testing of plant equipment to facilitate condition based maintenance. This,https://cecinvestor.com/search/kitwe/feed/rss2/,2023-07-12 09:39:17+00:00,Lovejoy Musundire,1
Copperbelt Energy,business news,CEC Calls for Coordinated Energy Transition Efforts,"14th June 2023 Lubumbashi, Zambia – Copperbelt Energy Corporation Plc (CEC) has emphasized the need for coordinated efforts in the transition to green energy sources. Managing Director, Mr. Owen Silavwe, stated today during a sponsor interview session and panel discussion at the ongoing DRC Mining Week, that the Company is aware of the rising energy",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-06-15 06:55:36+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,CEC Plc | Reminder – Notice and Agenda for the Extraordinary General Meeting,"NOTICE IS HEREBY GIVEN that an Extraordinary General Meeting (EGM) of the Members of Copperbelt Energy Corporation Plc will be held VIRTUALLY on https://eagm.creg.co.zw/eagm/Login.aspx at 10:00 hours on Monday 5th June 2023 to transact the following special business: Call to Order Call to order, taking of proxies and announcements concerning quorum in attendance. Amendment of",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-05-31 09:29:11+00:00,Lovejoy Musundire,1
Copperbelt Energy,business news,CEC Plc | Amended Notice and Agenda for Extraordinary General Meeting,"NOTICE IS HEREBY GIVEN that an Extraordinary General Meeting (EGM) of the Members of Copperbelt Energy Corporation Plc will be held VIRTUALLY on https://eagm.creg.co.zw/eagm/Login.aspx at 10:00 hours on Monday 5th June 2023 to transact the following special business: Call to Order Call to order, taking of proxies and announcements concerning quorum in attendance. Amendment of",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-05-24 14:39:25+00:00,CEC Investor Relations,1
Copperbelt Energy,career,CEC Renewables Limited Career Opportunities: Operations and Maintenance Engineer,"CEC Renewables Limited (‘CEC Renewables’’) is a subsidiary of the CEC Group through which the attainment of clean energy and operations, driven by the global and Zambian energy transition agenda in the generation and consumption of power from clean sources, such as solar, wind and battery storage is attained. Career Opportunities We currently have career",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-04-25 14:54:57+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Renewables Limited Career Opportunities: Assets Manager,"CEC Renewables Limited (‘CEC Renewables’’) is a subsidiary of the CEC Group through which the attainment of clean energy and operations, driven by the global and Zambian energy transition agenda in the generation and consumption of power from clean sources, such as solar, wind and battery storage is attained. Career Opportunities We currently have career",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-04-25 14:48:22+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,CEC’s Contribution to Engineering Innovation Acknowledged,"The Copperbelt Energy Corporation (CEC) has received an Excellence Award from the Engineering Institute of Zambia (EIZ) at the ongoing EIZ Annual Conference that is being held in Livingstone from 20th – 22nd April 2023. The award is in recognition of the Company’s contribution to engineering innovation through its Engineering, Procurement and Construction (EPC) project",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-04-21 07:12:33+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,CEC | Notice and Agenda of the Twenty-Fifth Annual General Meeting,"NOTICE IS HEREBY GIVEN that the Twenty-Fifth Annual General Meeting (AGM) of the Members of Copperbelt Energy Corporation PLC will be held VIRTUALLY on https://eagm.creg.co.zw/eagm/Login.aspx at 10:00 hours on Thursday, 27th April 2023 to transact the following business: 1. Adoption of Minutes To consider and adopt the minutes of the Twenty-Fourth Annual General Meeting held",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-04-05 13:45:57+00:00,Lovejoy Musundire,1
Copperbelt Energy,career,CEC Career Opportunities: Co-ordinator Safety (01),We currently have career opportunities in the following fields: Co-ordinator Safety (01) Grade CEC7 | Contract Type Permanent | Location Kitwe To provide inspection and advisory service on all aspects of occupational health and safety in order to effectively promote safe working conditions around workplaces at CEC. Key Accountabilities To ensure the day to day,https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-17 13:44:02+00:00,CEC Investor Relations,0
Copperbelt Energy,economy news,CEC Career Opportunities: Trade Advisor (01),"We currently have career opportunities in the following fields: Trade advisor (01) Grade CEC6 | Contract Type Permanent | Location Kitwe This role is responsible for the day-to-day operations of the power market including market coupling and technological development of the market platform and its products and services; forecasting, planning and advising power traders; and",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-17 13:43:23+00:00,CEC Investor Relations,0
Copperbelt Energy,career,CEC Career Opportunities: Engineer – Network Development (01),"We currently have career opportunities in the following fields: Engineer - Network Development (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The job holder will be responsible for supporting new customers to the CEC network with a focus on technical aspects, determine network requirements of future investments on the CEC network and other",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-17 13:42:39+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunities: Engineer – Business Development (01),"We currently have career opportunities in the following fields: Engineer - Business Development (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The job holder will be responsible for coordinating the onboarding of new customers to the CEC network, determine network requirements of future investments on the CEC network and other regional networks and",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-17 13:41:44+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunities: Energy Statistician (01),"We currently have career opportunities in the following fields: Energy statistician (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The role is responsible for customer billing. It involves collection, analysing and processing of timely and accurate energy sales data for billing, informational and reporting purposes. This role is also responsible for preparing fit-for-purpose",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-17 13:40:46+00:00,Lovejoy Musundire,0
Copperbelt Energy,development,CEC Career Opportunities: Energy Planner (01),We currently have career opportunities in the following fields: 1. Energy Planner (01) Grade CEC6 | Contract Type Permanent | Location Kitwe The role is responsible for short and long-range customer demand forecasting and development of befitting short and long range energy sourcing plans in respect of CEC’s power purchases to support the customer demand,https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-17 13:32:26+00:00,CEC Investor Relations,0
Copperbelt Energy,education,"Speech by CEC Company Secretary, Julia Chaila, at Handover of School Shoes Donation to Riverain Combined School","The CEC Ladies, in celebration of International Women’s Day, made a donation of school shoes to the children of Riverain Combined School in Kitwe, Zambia. The donation was motivated by the empathy that the CEC Ladies have for the children who walk to school barefooted or with barely covered feet, which can be dangerous and unsanitary. The CEC Ladies believe that education is the most important thing that can be given to children, and improving education opportunities is a catalyst for a better life for individuals, communities, and society at large. The donation of school shoes is one of many social impact initiatives that the CEC Ladies have participated in to give back to the communities around them and to better the quality of life for those who are needy and vulnerable.",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-09 12:13:43+00:00,aiciadmin,1
Copperbelt Energy,development,CEC – Market Announcement,"Copperbelt Energy Corporation PLC (“CEC” or “the Group”) is pleased to inform its Shareholders and the general public that it has incorporated the subsidiary, CEC Renewables Limited (“CEC Renewables”). Wholly owned, CEC Renewables is part of the CEC Group since 28th October 2022 and is responsible for driving the Group’s development and integration of renewable",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-03-02 12:30:22+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,"CEC Chairman, Mr. London Mwafulilwa’s speech on the commissioning of the 33MW Riverside Solar PV Plant","SPEECH DELIVERED BY THE BOARD CHAIRMAN OF COPPERBELT ENERGY CORPORATION PLC, MR. LONDON MWAFULILWA, ON THE COMMISSIONING OF THE 33MW RIVERSIDE SOLAR PV POWER PLANTWEDNESDAY, 15TH FEBRUARY 2023 Mr President, it is my singular honour and privilege to welcome you to Copperbelt Energy Corporation and to Kitwe. Hosting you in our Company today and sharing",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-02-15 20:11:52+00:00,CEC Investor Relations,1
Copperbelt Energy,health and wellness,Managing Director’s remarks on the launch of CEC Futsal facilities,"The Chairman- Non-Core Assets Members of the Executive Management Team The Chairman, MUZ Branch and Executive Members Fellow CEC employees Ladies and Gentlemen I take pleasure in joining you today to officially launch the long-awaited Futsal facilities here at the Ravens Country Club grounds. Our Company’s commitment to the health and social wellbeing of its",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-02-05 07:12:08+00:00,CEC Investor Relations,0
Copperbelt Energy,sports,Power Dynamos Football Club unveils new 2022/23 season kit,"Power Dynamos Football Club, the flag bearer for CEC’s social investment, has unveiled its new kit for the 2022/2023 season. At the Umbro kit unveiling on 5th January held at Kitwe’s Garden Court Hotel, the PDFC Club President, Benny Simukoko said a properly dressed team was important in the club’s quest for a consistently top-notch",https://cecinvestor.com/search/kitwe/feed/rss2/,2023-01-06 13:49:44+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,CEC’s “cleaner energy” drive cemented with US$100M solar projects,"After over 60 years of reliably supplying power supply to the mining industry, mainly anchored on hydro-generated power, the Copperbelt Energy Corporation Plc (CEC) is pursuing diversified frontiers of electricity generation with a focus on newer, cleaner and greener sources. Creating a sustainable future for commercial power supply is significantly challenging and requires many and",https://cecinvestor.com/search/kitwe/feed/rss2/,2022-12-12 13:31:58+00:00,Lovejoy Musundire,1
Copperbelt Energy,business news,"CEC, Silavwe claim Business Chamber Top Honours","CEC has, for the third time in four years, been recognized as the Most Outstanding Corporate of the Year in Kitwe District. Alongside the corporate recognition, the Managing Director, Owen Silavwe has been bestowed the honour of being the Business Executive of the Year. At the awards presentation ceremony for the Kitwe & District Chamber",https://cecinvestor.com/search/kitwe/feed/rss2/,2022-12-08 13:24:58+00:00,CEC Investor Relations,1
Copperbelt Energy,politics,"CEC hosts representatives of civil society, policy analysis and research organizations","As part of its wide ranging and cross-cutting stakeholder engagements, the Copperbelt Energy Corporation PLC (CEC) has hosted representatives of civil society, policy analysis and research organizations. The diverse group of public interest bodies drew representation from eleven (11) Lusaka and Copperbelt based organizations and was hosted by CEC over two days. To enable them",https://cecinvestor.com/search/kitwe/feed/rss2/,2022-11-09 19:37:31+00:00,aiciadmin,1
Copperbelt Energy,career,CEC Career Opportunities: Advisor – Public Relations,"We invite applications from suitably qualified and innovative individuals to take up the position of Advisor – Public Relations to be based at our Head Office in Kitwe. The successful candidate will take an active role in effectively communicating the Company’s value proposition to its various stakeholders, intended to achieve understanding of and support for",https://cecinvestor.com/search/kitwe/feed/rss2/,2022-09-12 11:05:33+00:00,CEC Investor Relations,1
Copperbelt Energy,sports,"Press briefing by Mr Alpha Mwale, Chairperson, Power Dynamos Football Club","Kitwe, August 17th, 2022 I would like to welcome you all to this press briefing aimed at updating you on our team’s preparations for the upcoming season. Our expectations for this season are very high. Last season, we aimed to finish in the top four to be able to play Confederation of African Football (CAF)",https://cecinvestor.com/search/kitwe/feed/rss2/,2022-08-17 12:56:49+00:00,aiciadmin,1
Copperbelt Energy,politics,"Press briefing by Mr Vincent Nyirenda, Chief Projects Officer, Copperbelt Energy Corporation Plc","Kitwe, August 17th, 2022 Our media colleagues, I would like to welcome you all to this press briefing aimed at updating you on the various projects the company has been working on. From the onset, I would like to say that undoubtedly, the operating environment has improved tremendously with Government making it very clear that",https://cecinvestor.com/search/kitwe/feed/rss2/,2022-08-17 12:47:14+00:00,aiciadmin,1
